date,scientist,rep,primary,secondary,secondary_dose,vial,day,status
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,19,1
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C1,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,2,1
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,5,1
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,PBS,0,C2,21,0
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,3,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,5,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,1,14,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,8,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,11,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,14,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,17,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,2,18,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,4,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,13,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,13,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,13,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,0.1,3,13,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,4,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,5,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,6,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,6,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,6,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,6,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,6,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,6,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,1,6,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,7,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,8,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,9,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,9,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,9,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,9,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,9,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,2,9,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,10,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,11,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,PBS,P.rett,5,12,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,8,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,18,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,18,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,21,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C3,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,19,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,21,1
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,PBS,0,C4,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,10,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,10,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,18,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,19,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,13,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,3,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,16,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,18,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,21,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,14,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,15,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,15,8,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,15,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,15,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,0.1,15,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,3,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,8,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,17,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,21,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,16,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,17,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,17,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,17,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,17,7,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,17,16,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,17,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,17,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,18,18,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,18,18,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,18,19,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,18,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,18,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,18,21,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,1,18,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,11,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,17,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,19,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,3,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,3,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,10,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,15,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,19,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,20,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,9,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,13,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,2,21,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,12,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,14,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,16,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,21,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,22,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,3,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,15,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,16,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,16,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,23,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,1,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,11,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,17,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,19,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,20,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,21,1
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,21,0
1/30/2020,Abby,SM-P.rett_1,S.m,P.rett,5,24,21,0
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,4,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,7,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,7,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C1,7,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,10,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,PBS,0,C2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,2,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,5,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,1,6,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,9,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,11,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,12,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,2,12,0
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,2,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,4,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,6,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,12,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,12,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,12,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,0.1,3,12,0
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,4,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,5,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,1,6,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,7,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,8,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,2,9,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,10,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,11,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,11,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,11,1,1
2/13/2020,Abby,SM-P.rett2,PBS,P.rett,5,11,1,1
